Product_id;sht_id;hersteller_produkt_nummer;bild_name_wurzel;anzahl_von_bilder;marke;produkt_name;detaillierte_beschreibung;zusammengefaste_beschreibung;produkt_merkmale;services;dokumente;hersteller_produkt_url;gewicht;Farbe;kategorie;reuter_megabad_aktion;reuter_megabad_preis;preis;gc_ek
1;VB5658.10;Villeroy&Boch_Tiefspülklosett_5658001;Villeroy&Boch_Tiefspülklosett_1;2;Villeroy&Boch;V&B O.Novo Tiefspülklosett;"O.novo; Tiefspu?lklosett fu?r Kombination; Sanita?rporzellan; Maße: 360 x 640 mm; bodenstehend, wandnah; Empfehlung: Montage mit Wandabstand:; Spu?lwasserbedarf: 3 / 4,5 l; Leed: 3; Befestigungssatz fu?r verdeckte Befestigung wird mitgeliefert; EN 997; mit Wassersparsystem AQUAREDUCT®: Spu?lwasserbedarf 3 / 4,5 Liter; Abgang waagerecht; Abgang senkrecht mo?glich durch Vario- Abflussbogen ";bodenstehend, wandnah, Abgang waagrecht, Spülwasserbedarf 4,5 Liter;Stand-WC;NULL;Villeroy&Boch_Tiefspülklosett_1;NULL;NULL;weiß;WC;292,8;151,66;268,4;NULL
2;K200460KT;Keramag_iConTiefspül-WC_200460600;Keramag_iContiefspül-WC_1;3;Keramag;Keramg iCon Tiefspül-WC;Tiefspül-Kombination, 6l, bodenstehend, bestehend aus:Tiefspül-WC, spülrandlos, 6 l, bodenstehend, Abgang Multi Material: Sanitärporzellan Farbe: Alpin (Weiß) Norm: CE, EN 997 - CL1 – 6A, EN33 Fabrikat: KERAMAG Modell: iCon Modell-Nr.: 200460 Maße:  Tiefe: 680 mm Ausladung: 680 mm Gewicht: 30,2 kg;iefspül-WC, spülrandlos, 6 l, bodenstehend, Abgang Multi, 680 mm Ausladung;Stand-WC ;NULL;NULL;Keramag_iContiefspül-WC_http://www.keramag.de/produkte/wcs-bidets-urinale/bodenstehende-wcs/icon-tiefspul-wc-spulrandlos-6-l-bodenstehend-abgang-multi-680-mm-ausladung/15935/;30,2;weiß;WC;291,88;799,68;672,0;NULL
3;K204060;Keramag_iConTiefspül-WC_204060000;Keramag_iConTiefspül-WC_204060000_1;3;Keramag;Keramg iCon Tiefspül-WC;Produkt und Raum individuell verbinden. iCon lädt ein zum kreativen Spiel mit unterschiedlichen Ebenen. Tiefspül-WC, 6 l,  CE, EN 997-CL1- 5 A + 6 A/C, EN 38 aus Sanitärkeramik wandhängend inkl. verdeckter Wandbefestigung von oben für Wandeinbauspülkasten oder Wandeinbau-Druckspüler Fabrikat: KERAMAG Modell: iCon Modell-Nr.: 204000  Größe: Breite: 355 mm, Tiefe: 530 mm, Höhe: 330 mm Montage: verlängerter Ablaufstutzen erforderlich;53 cm Ausladung, für WE-Kasten, nicht für den Einbau mit Druckspülern, inkl. verdeckte Wandbefestigung ;Wand-WC;NULL;NULL;Keramag_iContiefspül-WC_http://www.keramag.de/produkte/wcs-bidets-urinale/wandhangende-wcs/icon-tiefspul-wc-456-l-wandhangend-530-mm-ausladung/5545/;30,2;weiß;WC;174,89;608,09;511,0;NULL
4;O2096.6LCC;Laufen_ProSWand-WC_8209664000001;Laufen_ProSWand-WC_1;5;Laufen;Laufen Pro S Wand-WC Tiefspüler;Die WC-Reinigung ist eine Aufgabe, die wohl niemand gern übernimmt. Wie gut, dass das Laufen pro WC es Ihnen leicht macht! Durch den offenen Spülrand sowie die innovative Wasserführung beim Spülvorgang haben Ablagerungen kaum eine Chance. Darüber hinaus schont das WC die Umwelt! Es ist auf eine wassersparende Spülung mit 4,5 Litern bei voller Wassermenge bzw. 3 Litern bei Betätigung der Spartaste optimiert. Weitere Besonderheit: Die LCC Laufen Clean Coat-Oberfläche des WCs steigert nochmals die Hygiene in Ihrem Bad. So bleiben Schmutz und Kalk dank veredelter keramischer Oberfläche weitaus weniger haften. Produktmerkmale: Wandhängend, Tiefspüler, Besonders leichte Reinigung durch schmutzabweisende Oberfläche (LCC Laufen Clean Coat), Spülrandlos, daher keine verborgenen Stellen für Ablagerungen & Verschmutzungen, Innovativer Spülverteiler für ein perfektes Spülergebnis, Spülwasserbedarf: 3 Liter bei kleiner, 4,5 Liter bei großer Spültaste, Abgang waagerecht;Laufen PRO Wand-WC Tiefspüler ohne Spülrand, spülrandloses Keramikklosett, wandhängend, verdeckte Befestigung: auch außen mit glattem, leicht abwaschbarem Körper, für 4,5/3 l-Spülung;Wand-WC;NULL;NULL;NULL;NULL;weiß;WC;252,91;559,2;412,0;175,583
5;DUR045460.27WG;Duravit_VeroWaschTisch_04546000271;Duravait_VeroWaschTisch_1;3;Duravit;Duravit Vero Waschtisch;DURAVIT Vero Waschtisch mit Überlauf aus Sanitärkeramik mit Hahnlochbank für Einloch- optional, Dreilocharmatur oder ohne Hahnloch. Rechteckiger Waschtisch. Unterseite geschliffen für Konsolenmontage. Abmessungen(BxTxH)600x470x165mm. Weiß 00 und Schwarz 08. Ausführung ohne Hahnloch Best.Nr. 0454600028. Montage mit Einlocharmatur Best.Nr. 0454600027. Montage mit Dreilocharmatur Best.Nr. 0454600025;Duravit Vero Waschtisch 60 x 47 cm mit 1 Hahnloch geschliffen, mit Überlauf, mit Hahnlochbank, inkl. Befestigung, geschliffene Ausführung mit planem Boden zum Aufsetzen auf Möbel oder Platten;1 Hahnlohn;NULL;Duravit_VeroWaschTisch_1;Durvait_VeroWaschTisch_http://www.duravit.de/produkte/alle_serien/vero.de-de.html?product=94123;17,9;weiß;Waschbecken;274,07;579,6;483,0;NULL
6;K124020KT;Keramag_iconWaschtisch_124020600;Keramag_iconWaschtisch_1;3;Keramag;Keramag iCon Waschtisch ;Ebenfalls in komfortabler Großzügigkeit: Die 120 cm langen Waschtische mit und ohne Hahnlöcher., Waschtisch, EN 14688 CL 25, EN 32, aus Keralith, mit 2 Hahnlöchern, durchgehendes Becken mit einem Überlauf, Fabrikat: KERAMAG, Modell: iCon, Modell-Nr.: 124020, Größe: Breite: 1200 mm, Tiefe: 485 mm, Befestigung: Stockschrauben M 10 x 120, Unterbaufähig;Keramag iCon Waschtisch 120 x 48,5 cm aus Keralith (Feinfeuerton), mit zwei Hahnlöchern für zwei einzelne Standaramturen und einem zentralem Überlauf;2 Hahnlöcher;NULL;NULL;Keramag_iconWaschtisch_http://www.keramag.de/produkte/waschtische/standard-waschtische/icon-waschtisch-1200-x-485-mm-mit-zwei-hahnlochern/5450/;32,5;weiß;Waschbecken;403,26;1090,8;909,0;NULL
7;VB7175D0CP;Villeroy&Boch_subway2.0Schrank-Doppelwaschtisch_7175D0R1;Villeroy&Boch_subway2.0Schrank-Doppelwaschtisch_1;4;Villeroy&Boch;V&B Subway 2.0 Schrank-Doppelwaschtisch;"Subway 2.0; Schrank- Doppelwaschtisch; Sanita?rporzellan; Maße: 1300 x 470 mm; Eckig; fu?r zwei 3-Loch Armaturen geeignet, mittlere Hahnlo?cher durchgestochen; mit U?berlauf; Wandbefestigung; Befestigung mit 4 Stockschrauben M10x120 mm ";Villeroy & Boch Subway 2.0 Schrank-Doppelwaschtisch 130 x 47 cm, 2 x 1 Hahnloch mittig durchgestochen, auch für 3-Locharmaturen geeignet, mit Überlauf;2 Hahnlöcher;NULL;Villeroy&Boch_subway2.0Schrank-Doppelwaschtisch_1;Villeroy&Boch_subway2.0Schrank-Doppelwaschtisch_http://www.villeroy-boch.at/bw/m/Subway-2.0-Schrank-Doppelwaschtisch-Eckig-7175D0.html;38,7;weiß;Waschbecken;527,59;1194;1.094,50;NULL
8;VB4110.60CP;Villeroy&Boch_MyNatureAufsatzwaschtisch_411060R1;Villeroy&Boch_MyNatureAufsatzwaschtisch_1;3;Villeroy&Boch;V&B My Nature Aufsatzwaschtisch;"My Nature; Aufsatzwaschtisch; Sanita?rporzellan; Maße: 610 x 360 mm; Oval; ohne Hahnlochbank; ohne U?berlauf; Bei Modellen ohne U?berlauffunktion muss ein nicht verschließbares Ventil verwendet werden; inkl. nicht verschließbarem Ventil mit keramischer Ventilabdeckung, Befestigungssatz wird mitgeliefert ";"ohne Hahnlochbank; inkl. Nicht verschießbarem Ventil mit keramischer Ventilabdeckung; inkl. Befestigungssatz.";0 Hahnloch;NULL;Villeroy&Boch_MyNatureaufsatzwaschbecken_1;Villeroy&Boch_MyNatureAufsatzwaschbecken_http://www.villeroy-boch.at/bw/m/My-Nature-Aufsatzwaschtisch-Oval-411060.html;8,6;weiß;Waschbecken;339,85;699,6;641,3;NULL
9;K124053KT;Keramag_iConXSWaschtisch_124053600;Keramag_iConXSWaschtisch_1;1;Keramag;Keramag iCon Waschtisch Ablage rechts;Das moderne, geradlinige Design von iCon xs unterstützt eine klare Raumarchitektur. Dabei bietet diese Gäste-WC-Serie flexible Komfortlösungen, wie den 530 mm großen Waschtisch mit rechts- oder linksseitiger Ablagefläche. Waschtisch, EN 14688 - CL 00, EN 111, aus Keralith, mit Hahnloch rechts, ohne Überlauf, Ablagefläche rechts, Fabrikat: KERAMAG, Modell: iCon xs, Modell-Nr.: 124053, Größe: Breite: 530, Tiefe: 310 mm, Befestigung: Stockschrauben M10 x 120, Unterbaufähig;ohne Überlauf, kombinierbar mit Waschtischunterschränken 840052, 840053, 840054, aus Sanitärkeramik, 53cm mit Ablagefläche rechts;1 Hahnlohn;NULL;NULL;Keramag_iConXSWaschtisch_http://www.keramag.de/produkte/waschtische/standard-waschtische/icon-xs-waschtisch-530-x-310-mm-ablageflache-rechts-ohne-uberlauf/5453/;8,9;weiß;Waschbecken;167,29;472,8;394,0;NULL
10;K840420;Keramag_iConWaschtischunterschrank_840420000;Keramag_iConWaschtischunterschrank_1;1;Keramag;Keramag iCon Waschtischunterschrank;Die Waschtischunterschränke der Bad-Serie iCon bieten zusätzliche Komfortextras wie großzügige Schubladen und Auszüge mit sanftem Selbsteinzug.Waschtischunterschrank, 2 Schubladen und 2 Auszüge, Korpus/Front: Alpin Hochglanz, Material: P3 feuchtigkeitsbeständig, Griff: verchromt, Fabrikat: KERAMAG, Modell: iCon, Modell-Nr.: 840420, Größe: Breite 1190 mm, Tiefe 477 mm, Höhe 620 mm;mit 2 Schubladen und 2 Auszügen, Griffe verchromt ;Spanplatte;NULL;NULL;Keramag_iConWaschtischunterschrank_http://www.keramag.de/produkte/mobel/waschtischunterschranke/icon-waschtischunterschrank-1190-x-620-x-477-mm-korpusfront-alpin-hochglanz/6318/;51;weiß;Badmöbel;721,79;1567,2;1306,0;NULL
